time,e Jup calc,e Jup Runge-Kutta,e Jup Bulirsch-Stoer,e Sat calc,e Sat Runge-Kutta,e Sat Bulirsch-Stoer
3400,0.053375592,0.054077936,0.05363173,0.048005332,0.047332352,0.042787521
3410,0.053388073,0.053735104,0.053967973,0.047970181,0.04441125,0.043532211
3420,0.053400542,0.052970291,0.054491953,0.047935016,0.041565722,0.043946134
3430,0.053413,0.052928216,0.054831396,0.047899835,0.043896364,0.045586728
3440,0.053425447,0.053721494,0.054580199,0.047864639,0.043687464,0.04228921
3450,0.053437882,0.054062016,0.053885697,0.047829428,0.044142592,0.039565987
3460,0.053450306,0.054230336,0.053749271,0.047794202,0.046849922,0.041965695
3470,0.053462718,0.053928422,0.054168728,0.047758961,0.044182257,0.041827555
3480,0.053475119,0.05316462,0.054538814,0.047723705,0.041798288,0.042576436
3490,0.053487509,0.053113683,0.0548891,0.047688434,0.043619285,0.045120547
